Date,Price,Open,High,Low,Vol.,Change %,Year,Month,MA7,MA30,Daily_Return
2012-01-30,20731.72,20939.1,20950.02,20731.72,0.0,-0.77,2012,1,,,
2012-01-31,20875.83,20818.56,21009.92,20789.48,0.0,0.7,2012,1,,,0.6951183982805142
2012-02-01,20790.88,20875.34,20941.03,20790.88,0.0,-0.41,2012,2,,,-0.40692992805555495
2012-02-02,20822.0,20872.94,20900.58,20785.4,0.0,0.15,2012,2,,,0.14968101398304956
2012-02-03,20877.64,20822.0,20863.93,20786.35,0.0,0.27,2012,2,,,0.267217366247241
2012-02-07,20790.88,20857.9,20903.0,20733.35,0.0,-0.42,2012,2,,,-0.4155642112805724
2012-02-08,20693.84,20781.62,20781.62,20660.71,0.0,-0.47,2012,2,20797.54142857143,,-0.46674311044073713
2012-02-09,20631.38,20718.29,20719.85,20631.38,0.0,-0.3,2012,2,20783.207142857143,,-0.3018289500643645
2012-02-10,20623.63,20629.6,20725.76,20622.01,0.0,-0.04,2012,2,20747.178571428572,,-0.037564137735812686
2012-02-13,20583.61,20615.26,20639.18,20582.32,0.0,-0.19,2012,2,20717.568571428572,,-0.19404925321100386
2012-02-14,20667.0,20588.3,20669.19,20580.13,0.0,0.41,2012,2,20695.425714285717,,0.40512815779156774
2012-02-15,20329.62,20667.0,20703.47,20253.49,0.0,-1.63,2012,2,20617.13714285714,,-1.6324575410074038
2012-02-16,20314.08,20280.71,20325.62,20251.27,0.0,-0.08,2012,2,20549.022857142856,,-0.07644018924110041
2012-02-17,20411.17,20330.58,20469.7,20314.08,0.0,0.48,2012,2,20508.641428571427,,0.47794436174317667
2012-02-20,20439.25,20410.47,20481.48,20398.06,0.0,0.14,2012,2,20481.194285714282,,0.13757173155679592
2012-02-21,20492.31,20439.25,20526.5,20439.25,0.0,0.26,2012,2,20462.434285714287,,0.2595985664836098
2012-02-22,20313.36,20490.43,20536.45,20279.62,0.0,-0.87,2012,2,20423.827142857142,,-0.8732544061650471
2012-02-23,20426.21,20293.82,20435.46,20250.8,0.0,0.56,2012,2,20389.428571428572,,0.5555457098185501
2012-02-24,20495.92,20427.25,20558.67,20396.67,0.0,0.34,2012,2,20413.185714285715,,0.34127721197421135
2012-02-27,20364.55,20495.92,20514.48,20362.16,0.0,-0.64,2012,2,20420.395714285714,,-0.6409568343358041
2012-02-28,20137.51,20364.56,20364.9,20079.37,0.0,-1.11,2012,2,20381.30142857143,,-1.1148785512078652
2012-02-29,20123.51,20083.77,20123.51,20007.19,0.0,-0.07,2012,2,20336.195714285714,,-0.06952200147882781
2012-03-01,20193.4,20123.67,20234.03,20123.51,0.0,0.35,2012,3,20293.494285714285,,0.3473052166346857
2012-03-02,20592.01,20193.4,20592.01,20180.95,0.0,1.97,2012,3,20333.301428571427,,1.9739617894955597
2012-03-05,20619.05,20592.14,20786.96,20403.34,0.0,0.13,2012,3,20360.850000000002,,0.13131306754416983
2012-03-06,20926.31,20592.02,20926.31,20527.46,0.0,1.49,2012,3,20422.334285714285,,1.490175347554823
2012-03-07,21068.34,20592.02,21068.34,20459.44,0.0,0.68,2012,3,20522.875714285714,,0.6787149765056455
2012-03-08,21181.41,21069.3,21194.41,21028.66,0.0,0.54,2012,3,20672.004285714287,,0.5366820546848894
2012-03-09,20950.01,21181.42,21193.07,20927.45,0.0,-1.09,2012,3,20790.075714285715,,-1.0924674042002036
2012-03-12,21091.36,20950.02,21100.54,20950.02,0.0,0.67,2012,3,20918.355714285713,20618.593,0.6747013485912445
2012-03-13,21227.98,21091.36,21227.98,20988.34,0.0,0.65,2012,3,21009.20857142857,20635.135000000002,0.6477533928584966
2012-03-14,21072.93,21091.36,21092.3,20908.34,0.0,-0.73,2012,3,21074.04857142857,20641.704999999998,-0.7304039291538778
2012-03-15,20658.28,21072.93,21072.93,20658.28,0.0,-1.97,2012,3,21035.75857142857,20637.284999999996,-1.9676903022028847
2012-03-16,20824.25,20658.28,20795.63,20543.6,0.0,0.8,2012,3,21000.88857142857,20637.359999999997,0.8034066727723665
2012-03-19,21060.21,20658.28,21060.21,20406.46,0.0,1.13,2012,3,20983.574285714283,20643.445666666667,1.1331020324861552
2012-03-20,21006.3,20658.28,21006.3,20544.51,0.0,-0.26,2012,3,20991.615714285716,20650.626333333334,-0.25598035347226267
2012-03-21,21067.9,21006.3,21072.95,21002.38,0.0,0.29,2012,3,20988.264285714286,20663.094999999998,0.29324535972543586
2012-03-22,21261.29,21067.9,21400.05,21037.45,0.0,0.92,2012,3,20993.022857142856,20684.092,0.9179367663601834
2012-03-23,21191.22,21261.29,21282.79,21026.43,0.0,-0.33,2012,3,21009.92142857143,20703.011666666665,-0.3295660799509381
2012-03-26,21000.15,21076.4,21205.98,20995.63,0.0,-0.9,2012,3,21058.760000000002,20716.896333333334,-0.9016470028625045
2012-03-27,20916.03,20999.81,21001.2,20851.76,0.0,-0.4,2012,3,21071.87142857143,20725.19733333333,-0.40056856736738755
2012-03-28,20899.97,20916.03,20939.73,20747.33,0.0,-0.08,2012,3,21048.98,20744.209,-0.07678321364044116
2012-03-29,20756.19,20901.36,20939.06,20656.47,0.0,-0.69,2012,3,21013.25,20758.946,-0.6879435712108806
2012-03-30,20652.47,20756.19,20776.47,20615.38,0.0,-0.5,2012,3,20953.902857142857,20766.98933333333,-0.4997063526591239
2012-04-02,20650.95,20652.47,20652.47,20567.81,0.0,-0.01,2012,4,20866.711428571427,20774.046,-0.007359894482361629
2012-04-03,20849.95,20649.56,20849.95,20649.47,0.0,0.96,2012,4,20817.95857142857,20785.967333333334,0.9636360554841295
2012-04-04,20934.47,20854.26,20955.0,20849.95,0.0,0.41,2012,4,20808.575714285715,20806.671,0.4053726747546227
2012-04-05,20941.93,20930.16,20952.2,20797.91,0.0,0.04,2012,4,20812.27571428571,20823.861666666668,0.035635007716927625
2012-04-10,20845.32,20854.34,20902.89,20730.36,0.0,-0.46,2012,4,20804.46857142857,20835.508333333335,-0.46132328777720444
2012-04-11,20814.35,20788.55,20941.93,20710.16,0.0,-0.15,2012,4,20812.777142857143,20850.501666666667,-0.14857051846649538
2012-04-12,20742.1,20747.28,20758.13,20669.24,0.0,-0.35,2012,4,20825.58142857143,20870.654666666665,-0.34711629236560126
2012-04-13,20743.16,20683.33,20730.24,20638.11,0.0,0.01,2012,4,20838.754285714287,20891.309666666668,0.005110379373363116
2012-04-16,20685.7,20684.18,20714.0,20653.44,0.0,-0.28,2012,4,20815.29,20907.719666666664,-0.2770069748292858
2012-04-17,20788.83,20787.78,20831.66,20710.11,0.0,0.5,2012,4,20794.484285714287,20914.280333333332,0.49855697414156186
2012-04-18,21094.51,20788.83,21117.08,20788.83,0.0,1.47,2012,4,20816.28142857143,20930.129,1.4704050203883323
2012-04-19,21388.88,21094.51,21381.2,20976.9,0.0,1.4,2012,4,20893.932857142856,20945.548,1.395481573167623
2012-04-20,21756.5,21399.39,21736.16,21388.88,0.0,1.72,2012,4,21028.52571428571,20968.486666666668,1.7187435714258958
2012-04-23,21779.33,21756.5,21940.77,21756.5,0.0,0.1,2012,4,21176.70142857143,20988.417333333335,0.10493415760808311
2012-04-24,21895.41,21777.54,21944.54,21757.02,0.0,0.53,2012,4,21341.308571428573,21019.930666666663,0.5329824195693611
2012-04-25,21970.21,21895.63,22041.46,21845.98,0.0,0.34,2012,4,21524.81,21049.22566666667,0.3416241120855812
2012-04-26,22109.76,21970.21,22109.76,21956.33,0.0,0.64,2012,4,21713.514285714286,21078.618333333332,0.6351782709405063
2012-04-27,22109.76,22109.76,22150.52,22093.98,0.0,0.0,2012,4,21858.549999999996,21113.179333333333,0.0
2012-04-30,22045.66,22109.28,22148.49,22109.28,0.0,-0.29,2012,4,21952.37571428571,21159.425333333333,-0.2899172130317096
2012-05-02,22351.0,22122.81,22343.62,22109.44,0.0,1.39,2012,5,22037.304285714283,21210.317,1.3850345147298881
2012-05-03,22537.98,22368.49,22684.97,22351.0,0.0,0.84,2012,5,22145.682857142856,21259.576,0.8365621225001174
2012-05-04,22665.99,22538.24,22891.14,22526.16,0.0,0.57,2012,5,22255.765714285713,21314.898999999998,0.567974592221665
2012-05-07,22571.78,22716.99,22762.27,22557.03,0.0,-0.42,2012,5,22341.704285714284,21365.028333333332,-0.41564476115979465
2012-05-08,22656.76,22571.78,22820.73,22553.2,0.0,0.38,2012,5,22419.847142857143,21411.543999999998,0.3764878091138568
2012-05-09,22533.72,22820.1,23048.81,22607.67,0.0,-0.54,2012,5,22480.412857142856,21456.293999999998,-0.5430608789606106
2012-05-10,22511.3,22533.39,22533.72,22456.21,0.0,-0.1,2012,5,22546.932857142856,21506.665666666664,-0.09949533410373856
2012-05-11,22622.44,22511.3,22611.21,22503.2,0.0,0.49,2012,5,22585.71,21563.546,0.49370760462523755
2012-05-14,22552.46,22626.6,22669.32,22574.41,0.0,-0.31,2012,5,22587.778571428575,21618.629,-0.309338868839959
2012-05-15,22422.43,22552.46,22563.37,22393.15,0.0,-0.58,2012,5,22552.984285714287,21674.17033333333,-0.5765668135538138
2012-05-16,22524.67,22427.01,22524.67,22318.98,0.0,0.46,2012,5,22546.254285714287,21736.577,0.4559719887630376
2012-05-17,22517.66,22524.67,22583.44,22503.22,0.0,-0.03,2012,5,22526.382857142857,21798.800666666666,-0.031121432633629542
2012-05-18,22381.11,22518.47,22518.47,22345.99,0.0,-0.61,2012,5,22504.58142857143,21849.839333333333,-0.6064129221242331
2012-05-21,22309.62,22381.11,22411.18,22269.62,0.0,-0.32,2012,5,22475.77,21895.67766666667,-0.31942115471484955
2012-05-22,22342.13,22298.48,22341.77,22203.08,0.0,0.15,2012,5,22435.725714285716,21942.351000000002,0.14572189037733718
2012-05-23,22314.67,22338.1,22346.41,22124.63,0.0,-0.12,2012,5,22401.75571428571,21991.329333333335,-0.12290681327161712
2012-05-24,22218.44,22315.58,22398.21,22194.26,0.0,-0.43,2012,5,22372.614285714284,22038.13233333333,-0.431240972866731
2012-05-25,22232.36,22210.7,22232.9,22178.61,0.0,0.06,2012,5,22330.855714285713,22087.807666666668,0.06265066314288248
2012-05-28,22180.02,22232.9,22256.99,22049.02,0.0,-0.24,2012,5,22282.62142857143,22135.703,-0.23542260020978922
2012-05-30,22170.96,22172.25,22185.54,22092.38,0.0,-0.04,2012,5,22252.6,22185.211666666666,-0.04084757362707858
2012-05-31,22066.4,22185.54,22201.1,22066.4,0.0,-0.47,2012,5,22217.854285714282,22227.797333333336,-0.471607905115512
2012-06-01,21963.87,22112.13,22122.19,21963.87,0.0,-0.46,2012,6,22163.81714285714,22256.776,-0.46464307725774256
